2.jpg	[[[[126.0, 262.0], [198.0, 274.0], [195.0, 291.0], [123.0, 280.0]], ('’„œÛ”Ê25237', 0.5442101)]]
191.jpg	[[[[365.0, 188.0], [443.0, 184.0], [444.0, 201.0], [365.0, 205.0]], ('÷–π˙”Ê’˛37015', 0.8598303)]]
196.jpg	[[[[550.0, 309.0], [656.0, 305.0], [657.0, 331.0], [551.0, 335.0]], ('¬≥È¶”Ê5117', 0.8761638)]]
201.jpg	[[[[112.0, 318.0], [207.0, 324.0], [205.0, 352.0], [110.0, 345.0]], ('¬≥»Ÿ‘∂”Ê879', 0.52190644)]]
202.jpg	[[[[220.0, 380.0], [390.0, 413.0], [381.0, 458.0], [212.0, 425.0]], ('√ˆ¡¨”Ê66651', 0.8102603)]]
206.jpg	[[[[46.0, 219.0], [356.0, 216.0], [357.0, 295.0], [47.0, 298.0]], ('«Ì«Ì∫£09335', 0.8147968)]]
222.jpg	[[[[324.0, 523.0], [465.0, 513.0], [467.0, 536.0], [325.0, 545.0]], ('÷–π˙”Ê’˛45003', 0.9699741)]]
230.jpg	[[[[437.0, 394.0], [591.0, 394.0], [591.0, 429.0], [437.0, 429.0]], ('À’ÀÆ”Ê10143', 0.9763527)]]
254.jpg	[[[[393.0, 297.0], [462.0, 291.0], [463.0, 310.0], [395.0, 316.0]], ('»Û¥Ô617', 0.7056828)]]
257.jpg	[[[[151.0, 295.0], [208.0, 302.0], [205.0, 323.0], [149.0, 316.0]], ('‘¡÷È”Ê10092', 0.6194558)]]
258.jpg	[[[[159.0, 246.0], [233.0, 259.0], [230.0, 277.0], [156.0, 264.0]], ('’„œÛ”Ê50089', 0.81444335)]]
260.jpg	[[[[137.0, 253.0], [218.0, 272.0], [213.0, 295.0], [132.0, 277.0]], ('’„œÛ”Ê50093', 0.69778717)]]
261.jpg	[[[[134.0, 256.0], [217.0, 270.0], [213.0, 291.0], [130.0, 276.0]], ('’„≤‘”Ê06112', 0.759458)]]
263.jpg	[[[[157.0, 274.0], [220.0, 280.0], [218.0, 299.0], [155.0, 293.0]], ('‘¡÷È”Ê30055', 0.69907784)]]
264.jpg	[[[[88.0, 260.0], [163.0, 268.0], [161.0, 285.0], [86.0, 277.0]], ('’„∫£”Ê29942', 0.7423399)]]
265.jpg	[[[[113.0, 240.0], [178.0, 248.0], [176.0, 264.0], [111.0, 255.0]], ('’„œÛ”Ê25239', 0.8246627)]]
266.jpg	[[[[126.0, 262.0], [198.0, 274.0], [195.0, 291.0], [123.0, 280.0]], ('’„œÒ”Ê25237', 0.5442101)]]
279.jpg	[[[[110.0, 218.0], [178.0, 225.0], [176.0, 244.0], [108.0, 237.0]], (' ¢Â∞ª∑±£”Õ6', 0.580362)]]
281.jpg	[[[[324.0, 205.0], [399.0, 208.0], [397.0, 240.0], [323.0, 237.0]], ('∑·∫£26', 0.93464553)]]
284.jpg	[[[[359.0, 196.0], [501.0, 228.0], [493.0, 263.0], [351.0, 231.0]], ('‘¡Ã®”Ê11086', 0.9175012)]]
285.jpg	[[[[402.0, 233.0], [546.0, 190.0], [558.0, 231.0], [414.0, 274.0]], ('‘¡Ã®”Ê11098', 0.868081)]]
288.jpg	[[[[241.0, 156.0], [374.0, 189.0], [368.0, 215.0], [234.0, 182.0]], ('‘¡∂´›∏”Ê92001', 0.87911403)]]
296.jpg	[[[[211.0, 213.0], [273.0, 217.0], [272.0, 235.0], [210.0, 232.0]], ('÷–π˙∫£º‡75', 0.7795684)]]
298.jpg	[[[[271.0, 462.0], [361.0, 467.0], [360.0, 495.0], [270.0, 490.0]], ('…Ó—Œ8110', 0.9937859)]]
302.jpg	[[[[109.0, 253.0], [259.0, 263.0], [257.0, 287.0], [108.0, 277.0]], ('«Ì¡Ÿ”Ê03021', 0.98780835)]]
314.jpg	[[[[219.0, 173.0], [301.0, 183.0], [298.0, 205.0], [216.0, 195.0]], ('»˝…≥ –◊€∫œ÷¥∑®1∫≈', 0.6859867)]]
321.jpg	[[[[126.0, 389.0], [261.0, 397.0], [260.0, 417.0], [125.0, 410.0]], ('÷–π˙”Ê’˛12028', 0.9978977)]]
335.jpg	[[[[276.0, 148.0], [365.0, 139.0], [367.0, 155.0], [278.0, 164.0]], ('‘¡—ÙΩ≠”Ê62038', 0.76662624)]]
347.jpg	[[[[213.0, 237.0], [299.0, 222.0], [303.0, 244.0], [217.0, 259.0]], ('÷–π˙”Ê’˛33205', 0.7835562)]]
359.jpg	[[[[280.0, 380.0], [478.0, 409.0], [474.0, 437.0], [276.0, 407.0]], ('÷–π˙”Ê’˛33101-', 0.9759138)]]
379.jpg	[[[[168.0, 115.0], [218.0, 105.0], [221.0, 122.0], [172.0, 133.0]], ('∫Ω”Ó∫≈', 0.8979333)]]
380.jpg	[[[[177.0, 473.0], [451.0, 418.0], [465.0, 485.0], [190.0, 540.0]], ('’„≤‘”Ê08118', 0.74387974)]]
383.jpg	[[[[173.0, 212.0], [409.0, 233.0], [403.0, 298.0], [168.0, 276.0]], ('‘¡ƒœ∞ƒ”Ê13109', 0.87694615)]]
384.jpg	[[[[258.0, 332.0], [488.0, 298.0], [495.0, 349.0], [265.0, 382.0]], ('À’»Á”Ê09129', 0.98851913)]]
385.jpg	[[[[152.0, 406.0], [353.0, 463.0], [340.0, 510.0], [138.0, 453.0]], ('‘¡—ÙŒ˜Õ®39768', 0.8437081)]]
386.jpg	[[[[37.0, 117.0], [361.0, 173.0], [351.0, 232.0], [27.0, 176.0]], ('√ˆ ®”Ê06537', 0.9425601)]]
387.jpg	[[[[49.0, 456.0], [487.0, 337.0], [508.0, 412.0], [69.0, 531.0]], ('√ˆΩ˙”Ê05457', 0.9645935)]]
388.jpg	[[[[292.0, 513.0], [460.0, 474.0], [469.0, 510.0], [300.0, 549.0]], ('‘¡—ÙŒ˜”Ê33088', 0.9431571)]]
389.jpg	[[[[190.0, 205.0], [339.0, 242.0], [331.0, 276.0], [182.0, 239.0]], ('√ˆ ®”Ê06068', 0.9725728)]]
390.jpg	[[[[231.0, 191.0], [344.0, 160.0], [357.0, 206.0], [243.0, 238.0]], ('∫£∂º2', 0.874147)]]
393.jpg	[[[[117.0, 497.0], [256.0, 517.0], [251.0, 547.0], [112.0, 528.0]], ('À’∏””Ê03183', 0.9504603)]]
394.jpg	[[[[291.0, 512.0], [452.0, 475.0], [460.0, 510.0], [300.0, 548.0]], ('‘¡—ÙŒ˜Õ®33088', 0.9545856)]]
396.jpg	[[[[125.0, 351.0], [391.0, 396.0], [383.0, 444.0], [117.0, 398.0]], ('¬≥≥«”Ê61232', 0.9892766)]]
397.jpg	[[[[66.0, 119.0], [163.0, 107.0], [166.0, 127.0], [69.0, 139.0]], ('¬≥·∞”Ê60099', 0.83338)]]
398.jpg	[[[[121.0, 195.0], [344.0, 288.0], [324.0, 337.0], [101.0, 244.0]], ('ºΩ«ÿ”Ê‘À01004', 0.8466028)]]
399.jpg	[[[[45.0, 306.0], [323.0, 267.0], [332.0, 335.0], [54.0, 374.0]], ('’„œÛ”Ê10198', 0.7516324)]]
403.jpg	[[[[320.0, 241.0], [344.0, 243.0], [336.0, 357.0], [313.0, 356.0]], ('¬≥≥«”Ê60129', 0.9249635)]]
404.jpg	[[[[442.0, 253.0], [602.0, 270.0], [599.0, 302.0], [439.0, 285.0]], ('«Ì»˝—«”Ê72277', 0.9151959)]]
405.jpg	[[[[257.0, 185.0], [353.0, 196.0], [351.0, 216.0], [254.0, 205.0]], ('‘¡µÁ”Ê92108', 0.86048746)]]
406.jpg	[[[[51.0, 328.0], [236.0, 237.0], [261.0, 289.0], [76.0, 381.0]], ('¬≥Ω∫”Ê60076', 0.70272017)]]
407.jpg	[[[[290.0, 506.0], [501.0, 517.0], [500.0, 552.0], [288.0, 541.0]], ('¬≥Ω∫”Ê60999', 0.8017491)]]
410.jpg	[[[[37.0, 365.0], [396.0, 460.0], [382.0, 514.0], [23.0, 419.0]], ('À’∆Ù”Ê‘À08266', 0.9007844)]]
412.jpg	[[[[362.0, 236.0], [538.0, 349.0], [501.0, 406.0], [324.0, 293.0]], ('’„≤‘”Ê07799', 0.6611393)]]
415.jpg	[[[[200.0, 272.0], [462.0, 256.0], [464.0, 294.0], [203.0, 310.0]], ('¬≥Ω∫ƒœ”Ê70116', 0.9716459)]]
416.jpg	[[[[100.0, 502.0], [342.0, 522.0], [339.0, 564.0], [96.0, 545.0]], ('¬≥≥«”Ê60026', 0.96297204)]]
417.jpg	[[[[213.0, 192.0], [382.0, 243.0], [371.0, 279.0], [202.0, 228.0]], ('¬≥Ω∫”Ê—¯66167', 0.9704127)]]
418.jpg	[[[[137.0, 355.0], [313.0, 382.0], [307.0, 423.0], [131.0, 396.0]], ('√ˆΩ˙”Ê05795', 0.80763006)]]
419.jpg	[[[[46.0, 144.0], [387.0, 197.0], [378.0, 251.0], [37.0, 199.0]], ('¡…”™”Ê56056', 0.9893887)]]
421.jpg	[[[[139.0, 303.0], [321.0, 352.0], [311.0, 394.0], [128.0, 345.0]], ('À’∏””Ê02778', 0.911724)]]
422.jpg	[[[[15.0, 353.0], [384.0, 311.0], [392.0, 383.0], [23.0, 425.0]], ('√ˆ ®”Ê06868', 0.90282005)]]
423.jpg	[[[[147.0, 411.0], [378.0, 420.0], [377.0, 462.0], [145.0, 453.0]], ('¬≥Ω∫”Ê—¯66008', 0.98448074)]]
424.jpg	[[[[108.0, 403.0], [418.0, 403.0], [418.0, 476.0], [108.0, 476.0]], ('À’∏””Ê02739', 0.9467367)]]
425.jpg	[[[[183.0, 354.0], [491.0, 330.0], [496.0, 400.0], [189.0, 424.0]], ('’„œÛ”Ê49272', 0.79347813)]]
426.jpg	[[[[230.0, 262.0], [460.0, 291.0], [454.0, 341.0], [224.0, 313.0]], ('¬≥Ω∫”Ê60668', 0.8441775)]]
429.jpg	[[[[214.0, 465.0], [449.0, 410.0], [461.0, 464.0], [226.0, 519.0]], ('À’∏””Ê03178', 0.878464)]]
430.jpg	[[[[61.0, 217.0], [426.0, 119.0], [451.0, 212.0], [86.0, 310.0]], ('’„œÛ”Ê25306', 0.713959)]]
431.jpg	[[[[244.0, 460.0], [377.0, 449.0], [379.0, 476.0], [246.0, 487.0]], ('√ˆΩ˙”Ê05728', 0.912619)]]
432.jpg	[[[[39.0, 205.0], [511.0, 216.0], [510.0, 283.0], [38.0, 272.0]], ('¬≥»’…Ω”Ê61008', 0.94645405)]]
433.jpg	[[[[145.0, 344.0], [307.0, 397.0], [288.0, 456.0], [126.0, 403.0]], ('‘¡µÁ”Ê03019', 0.89678)]]
435.jpg	[[[[104.0, 416.0], [302.0, 441.0], [297.0, 481.0], [99.0, 457.0]], ('’„·””Ê05858', 0.85928816)]]
438.jpg	[[[[400.0, 230.0], [530.0, 249.0], [525.0, 285.0], [395.0, 267.0]], ('‘¡—ÙŒ˜”Ê61168', 0.9224788)]]
439.jpg	[[[[171.0, 241.0], [296.0, 260.0], [291.0, 289.0], [167.0, 270.0]], ('À’∆Ù”Ê02321', 0.8255142)]]
441.jpg	[[[[102.0, 329.0], [409.0, 430.0], [391.0, 486.0], [84.0, 386.0]], ('À’∏””Ê02123', 0.96629864)]]
442.jpg	[[[[193.0, 223.0], [413.0, 269.0], [404.0, 314.0], [183.0, 268.0]], ('¬≥ Ÿ”Ê65267', 0.7954728)]]
444.jpg	[[[[196.0, 412.0], [440.0, 386.0], [444.0, 424.0], [200.0, 450.0]], ('¡…”™”Ê26111', 0.98768085)]]
447.jpg	[[[[173.0, 505.0], [366.0, 492.0], [368.0, 528.0], [176.0, 541.0]], ('‘¡…«Œ≤”Ê13250', 0.985674)]]
448.jpg	[[[[267.0, 282.0], [494.0, 318.0], [488.0, 356.0], [261.0, 320.0]], ('’„·””Ê05823', 0.80559826)]]
449.jpg	[[[[212.0, 136.0], [405.0, 181.0], [395.0, 223.0], [203.0, 179.0]], ('√ˆ ®”Ê06669', 0.9508875)]]
451.jpg	[[[[126.0, 409.0], [363.0, 465.0], [350.0, 519.0], [113.0, 464.0]], ('À’∆Ù”Ê02595', 0.98247087)]]
452.jpg	[[[[66.0, 287.0], [268.0, 311.0], [264.0, 343.0], [62.0, 319.0]], ('√ˆ ®”Ê07567', 0.97947764)]]
453.jpg	[[[[299.0, 218.0], [464.0, 231.0], [462.0, 268.0], [296.0, 256.0]], ('¬≥≥«”Ê60117', 0.91550404)]]
454.jpg	[[[[76.0, 401.0], [351.0, 456.0], [340.0, 508.0], [65.0, 452.0]], ('√ˆΩ˙”Ê05968', 0.8615544)]]
455.jpg	[[[[49.0, 363.0], [307.0, 385.0], [302.0, 446.0], [44.0, 424.0]], ('π∑¿”Ê08009', 0.9835801)]]
460.jpg	[[[[88.0, 404.0], [276.0, 424.0], [271.0, 463.0], [84.0, 442.0]], ('’„œÛ”Ê40006', 0.872666)]]
461.jpg	[[[[67.0, 207.0], [529.0, 279.0], [510.0, 405.0], [47.0, 333.0]], ('’„œÛ”Ê12077', 0.62582934)]]
463.jpg	[[[[251.0, 445.0], [436.0, 417.0], [441.0, 454.0], [256.0, 482.0]], ('¡…µ§”Ê25009', 0.99140036)]]
464.jpg	[[[[235.0, 476.0], [465.0, 467.0], [467.0, 521.0], [237.0, 530.0]], ('‘¡µÁ”Ê92179', 0.87869775)]]
465.jpg	[[[[121.0, 319.0], [422.0, 369.0], [414.0, 418.0], [113.0, 368.0]], ('À’∏””Ê01668', 0.96882516)]]
466.jpg	[[[[258.0, 433.0], [493.0, 486.0], [481.0, 536.0], [247.0, 483.0]], ('√ˆ ®”Ê05277', 0.83400226)]]
467.jpg	[[[[10.0, 383.0], [317.0, 344.0], [325.0, 402.0], [18.0, 441.0]], ('¬≥Ω∫”Ê60107', 0.8542156)]]
470.jpg	[[[[83.0, 148.0], [280.0, 181.0], [275.0, 214.0], [78.0, 181.0]], ('¬≥Ω∫”Ê60010', 0.9667462)]]
471.jpg	[[[[244.0, 208.0], [386.0, 240.0], [378.0, 274.0], [236.0, 241.0]], ('‘¡—ÙŒ˜”Ê32183', 0.657569)]]
472.jpg	[[[[187.0, 261.0], [352.0, 284.0], [347.0, 316.0], [183.0, 292.0]], ('À’¥Û”Ê—¯08109', 0.98886)]]
473.jpg	[[[[124.0, 272.0], [381.0, 344.0], [370.0, 385.0], [112.0, 313.0]], ('√ˆΩ˙”Ê05761', 0.8636116)]]
475.jpg	[[[[147.0, 231.0], [536.0, 146.0], [552.0, 224.0], [164.0, 309.0]], ('¬≥»Ÿ”Ê57060', 0.9270945)]]
477.jpg	[[[[20.0, 439.0], [436.0, 498.0], [423.0, 590.0], [7.0, 532.0]], ('’„¡Î”Ê23701', 0.8639897)]]
478.jpg	[[[[163.0, 120.0], [336.0, 89.0], [343.0, 127.0], [169.0, 158.0]], ('¡…”™”Ê26655', 0.95210063)]]
480.jpg	[[[[180.0, 301.0], [413.0, 347.0], [403.0, 394.0], [171.0, 348.0]], ('¬≥¿≥÷›”Ê66379', 0.9128697)]]
481.jpg	[[[[200.0, 233.0], [523.0, 145.0], [544.0, 222.0], [221.0, 311.0]], ('π˝”™”Ê51888', 0.7092641)]]
482.jpg	[[[[204.0, 401.0], [506.0, 446.0], [497.0, 504.0], [196.0, 459.0]], ('¬≥Ω∫”Ê60716', 0.83698404)]]
483.jpg	[[[[25.0, 449.0], [340.0, 416.0], [345.0, 461.0], [30.0, 495.0]], ('¬≥Ω∫”Ê60106', 0.9809827)]]
484.jpg	[[[[253.0, 402.0], [413.0, 413.0], [411.0, 450.0], [250.0, 439.0]], ('√ˆ≥§”Ê23266', 0.728893)]]
486.jpg	[[[[50.0, 349.0], [256.0, 362.0], [253.0, 406.0], [47.0, 393.0]], ('«Ì¡Ÿ”Ê00512', 0.96710676)]]
488.jpg	[[[[339.0, 177.0], [507.0, 200.0], [502.0, 230.0], [335.0, 207.0]], ('ΩÚÃ¡”Ê03585', 0.9059835)]]
490.jpg	[[[[341.0, 213.0], [557.0, 246.0], [551.0, 288.0], [335.0, 256.0]], ('ΩÚÃ¡”Ê03896', 0.9656054)]]
491.jpg	[[[[87.0, 344.0], [346.0, 340.0], [346.0, 378.0], [88.0, 382.0]], ('¬≥»Ÿ”Ê52268', 0.88712084)]]
493.jpg	[[[[20.0, 261.0], [411.0, 341.0], [395.0, 419.0], [4.0, 338.0]], ('¬≥Ω∫‘¥62138', 0.886969)]]
496.jpg	[[[[210.0, 354.0], [390.0, 373.0], [387.0, 401.0], [207.0, 382.0]], ('÷–π˙”Ê’˛44536', 0.99764603)]]
501.jpg	[[[[158.0, 266.0], [330.0, 303.0], [321.0, 346.0], [149.0, 309.0]], ('À’∏””Ê02828', 0.92773294)]]
503.jpg	[[[[151.0, 647.0], [274.0, 647.0], [274.0, 681.0], [151.0, 681.0]], ('‘¡Ã®”Ê11333', 0.9544306)]]
509.jpg	[[[[107.0, 330.0], [299.0, 371.0], [289.0, 418.0], [97.0, 377.0]], ('¬≥Ω∫”Ê60716', 0.8499325)]]
510.jpg	[[[[137.0, 188.0], [322.0, 198.0], [321.0, 220.0], [136.0, 210.0]], ('¡…∫˘”Ê‘À15555', 0.6566864)]]
516.jpg	[[[[97.0, 206.0], [294.0, 152.0], [306.0, 196.0], [110.0, 250.0]], ('’„∆Ω”Ê8206', 0.88941157)]]
517.jpg	[[[[182.0, 229.0], [425.0, 194.0], [431.0, 237.0], [188.0, 271.0]], ('√ˆ ®”Ê07586', 0.71927154)]]
518.jpg	[[[[277.0, 168.0], [382.0, 151.0], [385.0, 170.0], [280.0, 186.0]], ('‘¡Ã®”Ê‘À01216', 0.8014233)]]
519.jpg	[[[[147.0, 308.0], [383.0, 304.0], [384.0, 349.0], [148.0, 353.0]], ('‘¡¿◊”Ê16888', 0.953622)]]
521.jpg	[[[[118.0, 391.0], [291.0, 421.0], [286.0, 455.0], [112.0, 425.0]], ('√ˆΩ˙”Ê05795', 0.8825525)]]
525.jpg	[[[[201.0, 75.0], [272.0, 100.0], [265.0, 118.0], [194.0, 92.0]], ('√ˆ ®”Ê06268', 0.68826306)]]
528.jpg	[[[[316.0, 46.0], [438.0, 70.0], [432.0, 98.0], [310.0, 74.0]], ('’„œÛ”Ê30221', 0.7732943)]]
529.jpg	[[[[75.0, 329.0], [403.0, 392.0], [394.0, 440.0], [66.0, 378.0]], ('¬≥≥«”Ê60516', 0.7779573)]]
530.jpg	[[[[196.0, 373.0], [500.0, 327.0], [507.0, 372.0], [203.0, 418.0]], ('¬≥Ω∫”Ê60696', 0.83714426)]]
532.jpg	[[[[244.0, 225.0], [447.0, 244.0], [443.0, 279.0], [241.0, 261.0]], ('¬≥≥«”Ê60129', 0.9825569)]]
534.jpg	[[[[583.0, 174.0], [699.0, 213.0], [684.0, 256.0], [568.0, 217.0]], ('‘¡¿◊”Ê13888', 0.7956228)]]
535.jpg	[[[[192.0, 324.0], [354.0, 360.0], [345.0, 401.0], [183.0, 366.0]], ('‘¡µÁ”Ê92108', 0.9354547)]]
538.jpg	[[[[192.0, 206.0], [277.0, 234.0], [268.0, 261.0], [183.0, 233.0]], ('π±±”Ê27103', 0.8526634)]]
539.jpg	[[[[281.0, 410.0], [408.0, 391.0], [413.0, 423.0], [286.0, 442.0]], ('‘¡µÁ”Ê31119', 0.9346956)]]
540.jpg	[[[[200.0, 210.0], [293.0, 229.0], [289.0, 250.0], [196.0, 232.0]], ('µ§∫£±ﬂ√≥508', 0.8920707)]]
545.jpg	[[[[303.0, 147.0], [376.0, 144.0], [377.0, 157.0], [304.0, 161.0]], ('÷–π˙”Ê’˛45001', 0.86081195)]]
546.jpg	[[[[299.0, 457.0], [419.0, 476.0], [414.0, 506.0], [295.0, 488.0]], ('À’∏””Ê03183', 0.95994437)]]
552.jpg	[[[[225.0, 278.0], [311.0, 272.0], [312.0, 291.0], [227.0, 298.0]], ('95158”Ê◊Ø¡…', 0.76330984)]]
553.jpg	[[[[341.0, 385.0], [497.0, 408.0], [492.0, 441.0], [336.0, 418.0]], ('√ˆΩ˙”Ê05399', 0.91799766)]]
556.jpg	[[[[193.0, 271.0], [391.0, 329.0], [377.0, 377.0], [179.0, 318.0]], ('À’∏””Ê02778', 0.9726252)]]
557.jpg	[[[[358.0, 165.0], [529.0, 188.0], [525.0, 218.0], [354.0, 196.0]], ('ΩÚÃ¡”Ê03585', 0.90042067)]]
558.jpg	[[[[112.0, 116.0], [221.0, 77.0], [233.0, 109.0], [123.0, 148.0]], ('¬≥»Ÿ”Ê50987', 0.8805224)]]
559.jpg	[[[[101.0, 123.0], [204.0, 68.0], [228.0, 113.0], [125.0, 169.0]], ('ˆŒºŒ‘¥217', 0.5588485)]]
563.jpg	[[[[143.0, 361.0], [436.0, 403.0], [429.0, 452.0], [136.0, 410.0]], ('¬≥≥«”Ê61232', 0.99087465)]]
564.jpg	[[[[134.0, 99.0], [292.0, 126.0], [285.0, 162.0], [128.0, 135.0]], ('’„¡Î”Ê74016', 0.8169794)]]
565.jpg	[[[[251.0, 316.0], [555.0, 307.0], [557.0, 370.0], [253.0, 379.0]], ('√ˆ ®”Ê06185', 0.9465976)]]
567.jpg	[[[[68.0, 453.0], [253.0, 488.0], [246.0, 521.0], [62.0, 486.0]], ('¬≥Ω∫ƒœ”Ê70117', 0.89249176)]]
568.jpg	[[[[228.0, 515.0], [376.0, 560.0], [364.0, 602.0], [215.0, 556.0]], ('√ˆΩ˙”Ê05697', 0.72004557)]]
570.jpg	[[[[172.0, 305.0], [353.0, 219.0], [374.0, 265.0], [193.0, 352.0]], ('¬≥»È”Ê51177', 0.8718513)]]
572.jpg	[[[[354.0, 102.0], [526.0, 72.0], [532.0, 104.0], [360.0, 134.0]], ('‘¡—ÙŒ˜”Ê32668', 0.9229129)]]
573.jpg	[[[[375.0, 167.0], [415.0, 162.0], [417.0, 178.0], [377.0, 183.0]], ('»ŒÃ©686', 0.50871944)]]
574.jpg	[[[[57.0, 507.0], [285.0, 520.0], [282.0, 570.0], [54.0, 556.0]], ('√ˆΩ˙”Ê0511', 0.9221252)]]
576.jpg	[[[[109.0, 324.0], [273.0, 312.0], [276.0, 355.0], [112.0, 367.0]], ('’„¡Ÿ”Ê12986', 0.9332024)]]
577.jpg	[[[[201.0, 519.0], [343.0, 489.0], [348.0, 515.0], [206.0, 544.0]], ('√ˆΩ˙”Ê05878', 0.9020225)]]
578.jpg	[[[[310.0, 86.0], [514.0, 93.0], [512.0, 124.0], [308.0, 117.0]], ('’„œÛ”Ê‘À02029', 0.7607072)]]
